component_id,production_id,part_id,qty_consumed
CMP-0016566,PRD-003702,P0202,45
CMP-0016567,PRD-003703,P0104,7
CMP-0016568,PRD-003703,P0137,28
CMP-0016569,PRD-003703,P0076,7
CMP-0016570,PRD-003703,P0174,21
CMP-0016571,PRD-003703,P0165,28
CMP-0016572,PRD-003703,P0062,7
CMP-0016573,PRD-003704,P0111,48
CMP-0016574,PRD-003704,P0238,48
CMP-0016575,PRD-003704,P0129,96
CMP-0016576,PRD-003704,P0206,96
CMP-0016577,PRD-003705,P0144,18
CMP-0016578,PRD-003705,P0124,24
CMP-0016579,PRD-003705,P0155,12
CMP-0016580,PRD-003706,P0233,28
CMP-0016581,PRD-003706,P0052,28
CMP-0016582,PRD-003706,P0004,56
CMP-0016583,PRD-003706,P0221,28
CMP-0016584,PRD-003706,P0046,56
CMP-0016585,PRD-003707,P0199,26
CMP-0016586,PRD-003707,P0202,52
CMP-0016587,PRD-003707,P0177,52
CMP-0016588,PRD-003708,P0009,69
CMP-0016589,PRD-003708,P0013,23
CMP-0016590,PRD-003708,P0132,23
CMP-0016591,PRD-003709,P0145,32
CMP-0016592,PRD-003709,P0152,32
CMP-0016593,PRD-003709,P0075,8
CMP-0016594,PRD-003710,P0132,80
CMP-0016595,PRD-003710,P0039,40
CMP-0016596,PRD-003710,P0027,60
CMP-0016597,PRD-003711,P0184,80
CMP-0016598,PRD-003711,P0153,20
CMP-0016599,PRD-003711,P0166,60
CMP-0016600,PRD-003711,P0275,40
CMP-0016601,PRD-003712,P0104,84
CMP-0016602,PRD-003712,P0134,56
CMP-0016603,PRD-003712,P0137,84
CMP-0016604,PRD-003712,P0113,84
CMP-0016605,PRD-003712,P0169,112
CMP-0016606,PRD-003712,P0174,28
CMP-0016607,PRD-003713,P0149,9
CMP-0016608,PRD-003713,P0065,18
CMP-0016609,PRD-003713,P0175,9
CMP-0016610,PRD-003714,P0289,80
CMP-0016611,PRD-003714,P0307,80
CMP-0016612,PRD-003714,P0018,60
CMP-0016613,PRD-003714,P0308,60
CMP-0016614,PRD-003715,P0173,80
CMP-0016615,PRD-003715,P0099,160
CMP-0016616,PRD-003715,P0190,80
CMP-0016617,PRD-003715,P0182,120
CMP-0016618,PRD-003715,P0148,40
CMP-0016619,PRD-003715,P0200,120
CMP-0016620,PRD-003716,P0305,10
CMP-0016621,PRD-003716,P0044,20
CMP-0016622,PRD-003716,P0004,10
CMP-0016623,PRD-003716,P0116,20
CMP-0016624,PRD-003716,P0307,30
CMP-0016625,PRD-003716,P0132,20
CMP-0016626,PRD-003717,P0108,15
CMP-0016627,PRD-003717,P0117,60
CMP-0016628,PRD-003717,P0090,60
CMP-0016629,PRD-003717,P0056,30
CMP-0016630,PRD-003717,P0145,15
CMP-0016631,PRD-003718,P0007,51
CMP-0016632,PRD-003718,P0041,34
CMP-0016633,PRD-003718,P0285,51
CMP-0016634,PRD-003718,P0098,51
CMP-0016635,PRD-003718,P0291,68
CMP-0016636,PRD-003719,P0012,93
CMP-0016637,PRD-003719,P0129,93
CMP-0016638,PRD-003719,P0116,62
CMP-0016639,PRD-003719,P0249,31
CMP-0016640,PRD-003720,P0113,32
CMP-0016641,PRD-003720,P0126,16
CMP-0016642,PRD-003720,P0008,16
CMP-0016643,PRD-003720,P0046,24
CMP-0016644,PRD-003720,P0052,32
CMP-0016645,PRD-003720,P0252,8
CMP-0016646,PRD-003721,P0254,48
CMP-0016647,PRD-003721,P0213,12
CMP-0016648,PRD-003721,P0279,36
CMP-0016649,PRD-003721,P0205,12
CMP-0016650,PRD-003721,P0180,36
CMP-0016651,PRD-003721,P0192,36
CMP-0016652,PRD-003722,P0106,10
CMP-0016653,PRD-003722,P0206,40
CMP-0016654,PRD-003722,P0113,20
CMP-0016655,PRD-003723,P0206,117
CMP-0016656,PRD-003723,P0235,156
CMP-0016657,PRD-003723,P0133,39
CMP-0016658,PRD-003724,P0041,78
CMP-0016659,PRD-003724,P0125,78
CMP-0016660,PRD-003724,P0251,78
CMP-0016661,PRD-003724,P0099,39
CMP-0016662,PRD-003725,P0199,112
CMP-0016663,PRD-003725,P0128,56
CMP-0016664,PRD-003725,P0150,84
CMP-0016665,PRD-003725,P0095,56
CMP-0016666,PRD-003725,P0207,28
CMP-0016667,PRD-003726,P0029,45
CMP-0016668,PRD-003726,P0045,45
CMP-0016669,PRD-003726,P0024,60
CMP-0016670,PRD-003726,P0236,60
CMP-0016671,PRD-003726,P0105,30
CMP-0016672,PRD-003726,P0122,60
CMP-0016673,PRD-003727,P0182,75
CMP-0016674,PRD-003727,P0213,50
CMP-0016675,PRD-003727,P0202,75
CMP-0016676,PRD-003728,P0209,13
CMP-0016677,PRD-003728,P0215,13
CMP-0016678,PRD-003728,P0128,13
CMP-0016679,PRD-003728,P0166,13
CMP-0016680,PRD-003728,P0194,52
CMP-0016681,PRD-003728,P0207,13
CMP-0016682,PRD-003729,P0109,28
CMP-0016683,PRD-003729,P0178,21
CMP-0016684,PRD-003729,P0164,7
CMP-0016685,PRD-003729,P0159,14
CMP-0016686,PRD-003730,P0214,66
CMP-0016687,PRD-003730,P0170,44
CMP-0016688,PRD-003730,P0201,88
CMP-0016689,PRD-003730,P0216,66
CMP-0016690,PRD-003730,P0116,22
CMP-0016691,PRD-003730,P0164,88
CMP-0016692,PRD-003731,P0052,39
CMP-0016693,PRD-003731,P0287,117
CMP-0016694,PRD-003731,P0293,39
CMP-0016695,PRD-003732,P0189,15
CMP-0016696,PRD-003732,P0274,45
CMP-0016697,PRD-003732,P0136,15
CMP-0016698,PRD-003733,P0182,108
CMP-0016699,PRD-003733,P0185,81
CMP-0016700,PRD-003733,P0147,108
CMP-0016701,PRD-003733,P0082,27
CMP-0016702,PRD-003733,P0137,27
CMP-0016703,PRD-003733,P0179,81
CMP-0016704,PRD-003734,P0018,28
CMP-0016705,PRD-003734,P0230,56
CMP-0016706,PRD-003734,P0011,56
CMP-0016707,PRD-003735,P0008,9
CMP-0016708,PRD-003735,P0101,27
CMP-0016709,PRD-003735,P0246,27
CMP-0016710,PRD-003735,P0308,27
CMP-0016711,PRD-003735,P0012,36
CMP-0016712,PRD-003736,P0148,66
CMP-0016713,PRD-003736,P0084,66
CMP-0016714,PRD-003736,P0177,99
CMP-0016715,PRD-003736,P0083,99
CMP-0016716,PRD-003737,P0180,72
CMP-0016717,PRD-003737,P0100,72
CMP-0016718,PRD-003737,P0207,24
CMP-0016719,PRD-003737,P0204,48
CMP-0016720,PRD-003738,P0060,52
CMP-0016721,PRD-003738,P0195,104
CMP-0016722,PRD-003738,P0068,52
CMP-0016723,PRD-003738,P0253,26
CMP-0016724,PRD-003738,P0270,104
CMP-0016725,PRD-003739,P0256,140
CMP-0016726,PRD-003739,P0074,70
CMP-0016727,PRD-003739,P0092,70
CMP-0016728,PRD-003739,P0089,70
CMP-0016729,PRD-003739,P0083,105
CMP-0016730,PRD-003740,P0099,12
CMP-0016731,PRD-003740,P0206,12
CMP-0016732,PRD-003740,P0097,3
CMP-0016733,PRD-003741,P0295,3
CMP-0016734,PRD-003741,P0037,3
CMP-0016735,PRD-003741,P0035,6
CMP-0016736,PRD-003742,P0214,7
CMP-0016737,PRD-003742,P0212,28
CMP-0016738,PRD-003742,P0188,28
CMP-0016739,PRD-003742,P0216,7
CMP-0016740,PRD-003743,P0137,39
CMP-0016741,PRD-003743,P0054,39
CMP-0016742,PRD-003743,P0168,52
CMP-0016743,PRD-003744,P0186,19
CMP-0016744,PRD-003744,P0211,76
CMP-0016745,PRD-003744,P0194,57
CMP-0016746,PRD-003744,P0215,38
CMP-0016747,PRD-003744,P0263,38
CMP-0016748,PRD-003744,P0185,57
CMP-0016749,PRD-003745,P0134,84
CMP-0016750,PRD-003745,P0191,56
CMP-0016751,PRD-003745,P0135,56
CMP-0016752,PRD-003745,P0112,84
CMP-0016753,PRD-003745,P0189,112
CMP-0016754,PRD-003746,P0186,50
CMP-0016755,PRD-003746,P0220,100
CMP-0016756,PRD-003746,P0185,50
CMP-0016757,PRD-003746,P0195,25
CMP-0016758,PRD-003746,P0103,75
CMP-0016759,PRD-003746,P0228,75
CMP-0016760,PRD-003747,P0170,24
CMP-0016761,PRD-003747,P0257,48
CMP-0016762,PRD-003747,P0164,36
CMP-0016763,PRD-003747,P0272,12
CMP-0016764,PRD-003747,P0253,36
CMP-0016765,PRD-003747,P0174,24
CMP-0016766,PRD-003748,P0161,4
CMP-0016767,PRD-003748,P0176,16
CMP-0016768,PRD-003748,P0148,16
CMP-0016769,PRD-003748,P0074,16
CMP-0016770,PRD-003749,P0082,12
CMP-0016771,PRD-003749,P0176,8
CMP-0016772,PRD-003749,P0258,4
CMP-0016773,PRD-003750,P0118,25
CMP-0016774,PRD-003750,P0224,25
CMP-0016775,PRD-003750,P0109,50
CMP-0016776,PRD-003750,P0114,75
CMP-0016777,PRD-003750,P0246,75
CMP-0016778,PRD-003751,P0127,116
CMP-0016779,PRD-003751,P0196,116
CMP-0016780,PRD-003751,P0095,87
CMP-0016781,PRD-003752,P0125,16
CMP-0016782,PRD-003752,P0127,16
CMP-0016783,PRD-003752,P0164,24
CMP-0016784,PRD-003752,P0098,8
CMP-0016785,PRD-003753,P0185,40
CMP-0016786,PRD-003753,P0193,10
CMP-0016787,PRD-003753,P0060,10
CMP-0016788,PRD-003753,P0077,10
CMP-0016789,PRD-003753,P0086,40
CMP-0016790,PRD-003754,P0267,24
CMP-0016791,PRD-003754,P0137,32
CMP-0016792,PRD-003754,P0142,24
CMP-0016793,PRD-003754,P0215,24
CMP-0016794,PRD-003755,P0143,6
CMP-0016795,PRD-003755,P0084,6
CMP-0016796,PRD-003755,P0165,12
CMP-0016797,PRD-003755,P0071,6
CMP-0016798,PRD-003755,P0151,18
CMP-0016799,PRD-003756,P0299,144
CMP-0016800,PRD-003756,P0051,36
CMP-0016801,PRD-003756,P0041,36
CMP-0016802,PRD-003756,P0099,108
CMP-0016803,PRD-003757,P0206,6
CMP-0016804,PRD-003757,P0101,6
CMP-0016805,PRD-003757,P0210,24
CMP-0016806,PRD-003757,P0197,18
CMP-0016807,PRD-003757,P0195,18
CMP-0016808,PRD-003758,P0181,28
CMP-0016809,PRD-003758,P0096,28
CMP-0016810,PRD-003758,P0135,28
CMP-0016811,PRD-003758,P0190,28
CMP-0016812,PRD-003758,P0132,42
CMP-0016813,PRD-003758,P0199,42
CMP-0016814,PRD-003759,P0107,3
CMP-0016815,PRD-003759,P0106,6
CMP-0016816,PRD-003759,P0075,12
CMP-0016817,PRD-003759,P0168,9
CMP-0016818,PRD-003759,P0152,6
CMP-0016819,PRD-003760,P0021,2
CMP-0016820,PRD-003760,P0244,2
CMP-0016821,PRD-003760,P0127,2
CMP-0016822,PRD-003760,P0001,2
CMP-0016823,PRD-003760,P0016,4
CMP-0016824,PRD-003761,P0062,57
CMP-0016825,PRD-003761,P0211,19
CMP-0016826,PRD-003761,P0178,19
CMP-0016827,PRD-003762,P0010,27
CMP-0016828,PRD-003762,P0228,54
CMP-0016829,PRD-003762,P0030,27
CMP-0016830,PRD-003763,P0184,28
CMP-0016831,PRD-003763,P0208,28
CMP-0016832,PRD-003763,P0188,14
CMP-0016833,PRD-003763,P0118,28
CMP-0016834,PRD-003764,P0114,18
CMP-0016835,PRD-003764,P0129,6
CMP-0016836,PRD-003764,P0134,18
CMP-0016837,PRD-003764,P0126,24
CMP-0016838,PRD-003764,P0117,24
CMP-0016839,PRD-003765,P0132,30
CMP-0016840,PRD-003765,P0238,120
CMP-0016841,PRD-003765,P0226,120
CMP-0016842,PRD-003765,P0102,90
CMP-0016843,PRD-003765,P0202,60
CMP-0016844,PRD-003765,P0212,60
CMP-0016845,PRD-003766,P0254,116
CMP-0016846,PRD-003766,P0195,58
CMP-0016847,PRD-003766,P0143,116
CMP-0016848,PRD-003766,P0209,58
CMP-0016849,PRD-003766,P0174,29
CMP-0016850,PRD-003767,P0047,16
CMP-0016851,PRD-003767,P0109,48
CMP-0016852,PRD-003767,P0031,48
CMP-0016853,PRD-003767,P0115,48
CMP-0016854,PRD-003767,P0040,16
CMP-0016855,PRD-003768,P0042,17
CMP-0016856,PRD-003768,P0135,34
CMP-0016857,PRD-003768,P0242,51
CMP-0016858,PRD-003768,P0226,51
CMP-0016859,PRD-003768,P0220,17
CMP-0016860,PRD-003768,P0040,17
CMP-0016861,PRD-003769,P0094,42
CMP-0016862,PRD-003769,P0136,28
CMP-0016863,PRD-003769,P0088,14
CMP-0016864,PRD-003769,P0121,42
CMP-0016865,PRD-003769,P0098,14
CMP-0016866,PRD-003770,P0213,44
CMP-0016867,PRD-003770,P0184,44
CMP-0016868,PRD-003770,P0113,88
CMP-0016869,PRD-003771,P0196,21
CMP-0016870,PRD-003771,P0230,7
CMP-0016871,PRD-003771,P0241,14
CMP-0016872,PRD-003771,P0186,28
CMP-0016873,PRD-003771,P0212,28
CMP-0016874,PRD-003771,P0194,14
CMP-0016875,PRD-003772,P0195,22
CMP-0016876,PRD-003772,P0171,88
CMP-0016877,PRD-003772,P0192,88
CMP-0016878,PRD-003773,P0249,50
CMP-0016879,PRD-003773,P0186,50
CMP-0016880,PRD-003773,P0195,25
CMP-0016881,PRD-003774,P0164,112
CMP-0016882,PRD-003774,P0086,112
CMP-0016883,PRD-003774,P0131,56
CMP-0016884,PRD-003774,P0060,56
CMP-0016885,PRD-003774,P0142,112
CMP-0016886,PRD-003775,P0111,90
CMP-0016887,PRD-003775,P0021,30
CMP-0016888,PRD-003775,P0050,30
CMP-0016889,PRD-003775,P0107,90
CMP-0016890,PRD-003775,P0033,120
CMP-0016891,PRD-003775,P0052,90
CMP-0016892,PRD-003776,P0191,40
CMP-0016893,PRD-003776,P0225,60
CMP-0016894,PRD-003776,P0118,20
CMP-0016895,PRD-003777,P0187,80
CMP-0016896,PRD-003777,P0073,80
CMP-0016897,PRD-003777,P0063,80
CMP-0016898,PRD-003778,P0288,58
CMP-0016899,PRD-003778,P0122,29
CMP-0016900,PRD-003778,P0042,58
CMP-0016901,PRD-003778,P0026,58
CMP-0016902,PRD-003778,P0014,29
CMP-0016903,PRD-003779,P0236,76
CMP-0016904,PRD-003779,P0097,76
CMP-0016905,PRD-003779,P0132,19
CMP-0016906,PRD-003779,P0242,76
CMP-0016907,PRD-003779,P0251,38
CMP-0016908,PRD-003779,P0250,19
CMP-0016909,PRD-003780,P0068,140
CMP-0016910,PRD-003780,P0126,35
CMP-0016911,PRD-003780,P0097,70
CMP-0016912,PRD-003780,P0135,35
CMP-0016913,PRD-003780,P0121,70
CMP-0016914,PRD-003780,P0112,105
CMP-0016915,PRD-003781,P0126,48
CMP-0016916,PRD-003781,P0072,24
CMP-0016917,PRD-003781,P0073,48
CMP-0016918,PRD-003782,P0309,44
CMP-0016919,PRD-003782,P0133,22
CMP-0016920,PRD-003782,P0039,88
CMP-0016921,PRD-003782,P0106,44
CMP-0016922,PRD-003782,P0286,22
CMP-0016923,PRD-003782,P0135,66
CMP-0016924,PRD-003783,P0015,56
CMP-0016925,PRD-003783,P0233,56
CMP-0016926,PRD-003783,P0228,28
CMP-0016927,PRD-003783,P0033,42
CMP-0016928,PRD-003784,P0196,81
CMP-0016929,PRD-003784,P0101,54
CMP-0016930,PRD-003784,P0198,81
CMP-0016931,PRD-003784,P0206,54
CMP-0016932,PRD-003785,P0308,28
CMP-0016933,PRD-003785,P0051,42
CMP-0016934,PRD-003785,P0127,56
CMP-0016935,PRD-003785,P0009,42
CMP-0016936,PRD-003785,P0110,28
CMP-0016937,PRD-003785,P0019,14
CMP-0016938,PRD-003786,P0209,88
CMP-0016939,PRD-003786,P0157,66
CMP-0016940,PRD-003786,P0202,44
CMP-0016941,PRD-003786,P0193,66
CMP-0016942,PRD-003786,P0144,44
CMP-0016943,PRD-003786,P0143,22
CMP-0016944,PRD-003787,P0015,52
CMP-0016945,PRD-003787,P0046,39
CMP-0016946,PRD-003787,P0001,26
CMP-0016947,PRD-003787,P0247,26
CMP-0016948,PRD-003787,P0100,26
CMP-0016949,PRD-003788,P0173,60
CMP-0016950,PRD-003788,P0163,20
CMP-0016951,PRD-003788,P0064,60
CMP-0016952,PRD-003788,P0061,40
CMP-0016953,PRD-003788,P0149,80
CMP-0016954,PRD-003788,P0122,80
CMP-0016955,PRD-003789,P0140,6
CMP-0016956,PRD-003789,P0196,6
CMP-0016957,PRD-003789,P0135,6
CMP-0016958,PRD-003789,P0188,6
CMP-0016959,PRD-003789,P0211,12
CMP-0016960,PRD-003789,P0198,24
CMP-0016961,PRD-003790,P0169,6
CMP-0016962,PRD-003790,P0201,9
CMP-0016963,PRD-003790,P0216,9
CMP-0016964,PRD-003790,P0095,6
CMP-0016965,PRD-003791,P0263,10
CMP-0016966,PRD-003791,P0086,10
CMP-0016967,PRD-003791,P0278,10
CMP-0016968,PRD-003792,P0293,3
CMP-0016969,PRD-003792,P0133,12
CMP-0016970,PRD-003792,P0289,12
CMP-0016971,PRD-003792,P0046,3
CMP-0016972,PRD-003792,P0094,3
CMP-0016973,PRD-003792,P0285,6
CMP-0016974,PRD-003793,P0205,45
CMP-0016975,PRD-003793,P0265,60
CMP-0016976,PRD-003793,P0274,15
CMP-0016977,PRD-003793,P0072,15
CMP-0016978,PRD-003793,P0275,15
CMP-0016979,PRD-003793,P0068,30
CMP-0016980,PRD-003794,P0198,60
CMP-0016981,PRD-003794,P0145,40
CMP-0016982,PRD-003794,P0180,60
CMP-0016983,PRD-003795,P0222,21
CMP-0016984,PRD-003795,P0115,21
CMP-0016985,PRD-003795,P0231,28
CMP-0016986,PRD-003795,P0050,7
CMP-0016987,PRD-003795,P0291,7
CMP-0016988,PRD-003796,P0251,29
CMP-0016989,PRD-003796,P0044,58
CMP-0016990,PRD-003796,P0127,87
CMP-0016991,PRD-003796,P0121,29
CMP-0016992,PRD-003796,P0290,116
CMP-0016993,PRD-003797,P0197,17
CMP-0016994,PRD-003797,P0117,51
CMP-0016995,PRD-003797,P0098,51
CMP-0016996,PRD-003797,P0121,34
CMP-0016997,PRD-003797,P0179,51
CMP-0016998,PRD-003798,P0094,80
CMP-0016999,PRD-003798,P0113,20
CMP-0017000,PRD-003798,P0204,60
CMP-0017001,PRD-003799,P0086,18
CMP-0017002,PRD-003799,P0269,24
CMP-0017003,PRD-003799,P0054,12
CMP-0017004,PRD-003799,P0263,18
CMP-0017005,PRD-003799,P0064,18
CMP-0017006,PRD-003800,P0105,40
CMP-0017007,PRD-003800,P0237,40
CMP-0017008,PRD-003800,P0095,30
CMP-0017009,PRD-003800,P0222,10
CMP-0017010,PRD-003800,P0134,40
CMP-0017011,PRD-003801,P0258,24
CMP-0017012,PRD-003801,P0277,6
CMP-0017013,PRD-003801,P0185,24
CMP-0017014,PRD-003801,P0215,24
CMP-0017015,PRD-003802,P0171,12
CMP-0017016,PRD-003802,P0169,16
CMP-0017017,PRD-003802,P0202,16
CMP-0017018,PRD-003802,P0206,4
CMP-0017019,PRD-003803,P0192,18
CMP-0017020,PRD-003803,P0112,18
CMP-0017021,PRD-003803,P0186,18
CMP-0017022,PRD-003803,P0126,27
CMP-0017023,PRD-003803,P0194,27
CMP-0017024,PRD-003803,P0122,27
CMP-0017025,PRD-003804,P0140,16
CMP-0017026,PRD-003804,P0112,8
CMP-0017027,PRD-003804,P0176,24
CMP-0017028,PRD-003804,P0128,16
CMP-0017029,PRD-003804,P0138,32
CMP-0017030,PRD-003805,P0107,88
CMP-0017031,PRD-003805,P0111,44
CMP-0017032,PRD-003805,P0121,44
CMP-0017033,PRD-003805,P0108,22
CMP-0017034,PRD-003805,P0149,88
CMP-0017035,PRD-003805,P0201,22
CMP-0017036,PRD-003806,P0098,84
CMP-0017037,PRD-003806,P0191,28
CMP-0017038,PRD-003806,P0214,28
CMP-0017039,PRD-003806,P0097,56
CMP-0017040,PRD-003807,P0213,33
CMP-0017041,PRD-003807,P0194,33
CMP-0017042,PRD-003807,P0225,44
CMP-0017043,PRD-003807,P0127,44
CMP-0017044,PRD-003808,P0092,90
CMP-0017045,PRD-003808,P0200,30
CMP-0017046,PRD-003808,P0282,120
CMP-0017047,PRD-003808,P0058,90
CMP-0017048,PRD-003808,P0093,60
CMP-0017049,PRD-003808,P0075,90
CMP-0017050,PRD-003809,P0002,29
CMP-0017051,PRD-003809,P0105,58
CMP-0017052,PRD-003809,P0133,58
CMP-0017053,PRD-003809,P0238,87
CMP-0017054,PRD-003809,P0307,29
CMP-0017055,PRD-003810,P0087,100
CMP-0017056,PRD-003810,P0257,50
CMP-0017057,PRD-003810,P0082,50
CMP-0017058,PRD-003810,P0179,75
CMP-0017059,PRD-003811,P0264,6
CMP-0017060,PRD-003811,P0198,4
CMP-0017061,PRD-003811,P0268,6
CMP-0017062,PRD-003811,P0185,6
CMP-0017063,PRD-003812,P0226,75
CMP-0017064,PRD-003812,P0097,100
CMP-0017065,PRD-003812,P0250,25
CMP-0017066,PRD-003812,P0249,100
CMP-0017067,PRD-003813,P0094,50
CMP-0017068,PRD-003813,P0100,25
CMP-0017069,PRD-003813,P0121,50
CMP-0017070,PRD-003814,P0128,3
CMP-0017071,PRD-003814,P0160,3
CMP-0017072,PRD-003814,P0127,9
CMP-0017073,PRD-003814,P0114,3
CMP-0017074,PRD-003814,P0079,6
CMP-0017075,PRD-003814,P0174,6
CMP-0017076,PRD-003815,P0075,99
CMP-0017077,PRD-003815,P0207,132
CMP-0017078,PRD-003815,P0178,132
CMP-0017079,PRD-003815,P0186,66
CMP-0017080,PRD-003815,P0062,99
CMP-0017081,PRD-003816,P0212,13
CMP-0017082,PRD-003816,P0155,13
CMP-0017083,PRD-003816,P0136,52
CMP-0017084,PRD-003816,P0157,39
CMP-0017085,PRD-003816,P0076,39
CMP-0017086,PRD-003816,P0061,26
CMP-0017087,PRD-003817,P0170,20
CMP-0017088,PRD-003817,P0126,20
CMP-0017089,PRD-003817,P0197,10
CMP-0017090,PRD-003817,P0119,30
CMP-0017091,PRD-003817,P0101,30
CMP-0017092,PRD-003818,P0006,16
CMP-0017093,PRD-003818,P0238,8
CMP-0017094,PRD-003818,P0101,16
CMP-0017095,PRD-003819,P0198,46
CMP-0017096,PRD-003819,P0183,46
CMP-0017097,PRD-003819,P0237,46
CMP-0017098,PRD-003819,P0127,69
CMP-0017099,PRD-003820,P0060,116
CMP-0017100,PRD-003820,P0168,116
CMP-0017101,PRD-003820,P0061,87
CMP-0017102,PRD-003820,P0058,29
CMP-0017103,PRD-003821,P0143,36
CMP-0017104,PRD-003821,P0119,36
CMP-0017105,PRD-003821,P0060,108
CMP-0017106,PRD-003821,P0091,72
CMP-0017107,PRD-003821,P0078,36
CMP-0017108,PRD-003822,P0125,44
CMP-0017109,PRD-003822,P0099,88
CMP-0017110,PRD-003822,P0101,44
CMP-0017111,PRD-003822,P0216,88
CMP-0017112,PRD-003823,P0064,6
CMP-0017113,PRD-003823,P0200,12
CMP-0017114,PRD-003823,P0209,12
CMP-0017115,PRD-003824,P0105,60
CMP-0017116,PRD-003824,P0109,120
CMP-0017117,PRD-003824,P0176,30
CMP-0017118,PRD-003824,P0102,30
CMP-0017119,PRD-003824,P0196,60
CMP-0017120,PRD-003825,P0267,32
CMP-0017121,PRD-003825,P0208,32
CMP-0017122,PRD-003825,P0282,16
CMP-0017123,PRD-003825,P0255,24
CMP-0017124,PRD-003826,P0107,32
CMP-0017125,PRD-003826,P0111,24
CMP-0017126,PRD-003826,P0122,24
CMP-0017127,PRD-003827,P0101,96
CMP-0017128,PRD-003827,P0171,96
CMP-0017129,PRD-003827,P0084,72
CMP-0017130,PRD-003827,P0122,48
CMP-0017131,PRD-003827,P0054,72
CMP-0017132,PRD-003827,P0164,96
CMP-0017133,PRD-003828,P0290,10
CMP-0017134,PRD-003828,P0128,10
CMP-0017135,PRD-003828,P0022,30
CMP-0017136,PRD-003828,P0231,30
CMP-0017137,PRD-003829,P0086,4
CMP-0017138,PRD-003829,P0089,8
CMP-0017139,PRD-003829,P0262,2
CMP-0017140,PRD-003829,P0181,8
CMP-0017141,PRD-003829,P0261,8
CMP-0017142,PRD-003829,P0213,4
CMP-0017143,PRD-003830,P0182,51
CMP-0017144,PRD-003830,P0153,17
CMP-0017145,PRD-003830,P0082,17
CMP-0017146,PRD-003830,P0066,51
CMP-0017147,PRD-003830,P0141,17
CMP-0017148,PRD-003831,P0236,64
CMP-0017149,PRD-003831,P0050,32
CMP-0017150,PRD-003831,P0296,16
CMP-0017151,PRD-003831,P0309,32
CMP-0017152,PRD-003832,P0231,48
CMP-0017153,PRD-003832,P0217,16
CMP-0017154,PRD-003832,P0176,64
CMP-0017155,PRD-003832,P0130,48
CMP-0017156,PRD-003833,P0110,33
CMP-0017157,PRD-003833,P0203,33
CMP-0017158,PRD-003833,P0102,66
CMP-0017159,PRD-003833,P0124,132
CMP-0017160,PRD-003833,P0108,66
CMP-0017161,PRD-003833,P0125,132
CMP-0017162,PRD-003834,P0176,29
CMP-0017163,PRD-003834,P0076,116
CMP-0017164,PRD-003834,P0283,116
CMP-0017165,PRD-003835,P0181,28
CMP-0017166,PRD-003835,P0196,28
CMP-0017167,PRD-003835,P0198,14
CMP-0017168,PRD-003835,P0179,14
CMP-0017169,PRD-003835,P0211,21
CMP-0017170,PRD-003836,P0012,14
CMP-0017171,PRD-003836,P0303,14
CMP-0017172,PRD-003836,P0222,42
CMP-0017173,PRD-003836,P0034,56
CMP-0017174,PRD-003837,P0212,7
CMP-0017175,PRD-003837,P0116,14
CMP-0017176,PRD-003837,P0217,14
CMP-0017177,PRD-003837,P0189,7
CMP-0017178,PRD-003838,P0020,9
CMP-0017179,PRD-003838,P0110,27
CMP-0017180,PRD-003838,P0046,9
CMP-0017181,PRD-003838,P0301,36
CMP-0017182,PRD-003838,P0026,27
CMP-0017183,PRD-003839,P0026,72
CMP-0017184,PRD-003839,P0103,54
CMP-0017185,PRD-003839,P0120,18
CMP-0017186,PRD-003839,P0300,18
CMP-0017187,PRD-003839,P0241,72
CMP-0017188,PRD-003840,P0168,15
CMP-0017189,PRD-003840,P0165,45
CMP-0017190,PRD-003840,P0198,15
CMP-0017191,PRD-003840,P0160,30
CMP-0017192,PRD-003841,P0128,22
CMP-0017193,PRD-003841,P0235,66
CMP-0017194,PRD-003841,P0222,22
CMP-0017195,PRD-003841,P0299,88
CMP-0017196,PRD-003841,P0029,44
CMP-0017197,PRD-003841,P0105,44
CMP-0017198,PRD-003842,P0188,40
CMP-0017199,PRD-003842,P0121,30
CMP-0017200,PRD-003842,P0150,10
CMP-0017201,PRD-003843,P0196,81
CMP-0017202,PRD-003843,P0121,81
CMP-0017203,PRD-003843,P0164,81
CMP-0017204,PRD-003844,P0215,117
CMP-0017205,PRD-003844,P0260,156
CMP-0017206,PRD-003844,P0255,39
CMP-0017207,PRD-003844,P0179,117
CMP-0017208,PRD-003844,P0189,156
CMP-0017209,PRD-003845,P0292,6
CMP-0017210,PRD-003845,P0109,8
CMP-0017211,PRD-003845,P0017,8
CMP-0017212,PRD-003845,P0108,6
CMP-0017213,PRD-003845,P0014,4
CMP-0017214,PRD-003845,P0121,4
CMP-0017215,PRD-003846,P0219,48
CMP-0017216,PRD-003846,P0298,32
CMP-0017217,PRD-003846,P0229,64
CMP-0017218,PRD-003846,P0015,48
CMP-0017219,PRD-003847,P0147,132
CMP-0017220,PRD-003847,P0068,66
CMP-0017221,PRD-003847,P0202,66
CMP-0017222,PRD-003847,P0172,33
CMP-0017223,PRD-003847,P0207,132
CMP-0017224,PRD-003848,P0077,116
CMP-0017225,PRD-003848,P0159,87
CMP-0017226,PRD-003848,P0163,87
CMP-0017227,PRD-003848,P0135,87
CMP-0017228,PRD-003848,P0074,87
CMP-0017229,PRD-003849,P0116,6
CMP-0017230,PRD-003849,P0042,12
