component_id,production_id,part_id,qty_consumed,unit_cost,category,component_cost
CMP-0007427,PRD-001648,P0306,48,373.45,Fuel System,17925.6
CMP-0007428,PRD-001648,P0242,24,675.71,Cooling System,16217.04
CMP-0007429,PRD-001648,P0293,48,342.5,Fuel System,16440.0
CMP-0007430,PRD-001649,P0166,48,783.59,Hydraulics,37612.32
CMP-0007431,PRD-001649,P0165,24,877.25,Hydraulics,21054.0
CMP-0007432,PRD-001649,P0158,36,504.82,Hydraulics,18173.52
CMP-0007433,PRD-001649,P0116,24,750.05,Electrical,18001.2
CMP-0007434,PRD-001649,P0162,36,656.26,Hydraulics,23625.36
CMP-0007435,PRD-001650,P0063,72,563.15,Brake Systems,40546.8
CMP-0007436,PRD-001650,P0077,54,130.78,Brake Systems,7062.12
CMP-0007437,PRD-001650,P0209,54,181.96,Structural,9825.84
CMP-0007438,PRD-001651,P0216,39,628.04,Structural,24493.56
CMP-0007439,PRD-001651,P0097,156,396.7,Electrical,61885.2
CMP-0007440,PRD-001651,P0096,78,651.7,Electrical,50832.6
CMP-0007441,PRD-001651,P0180,117,841.3,Structural,98432.1
CMP-0007442,PRD-001652,P0165,84,877.25,Hydraulics,73689.0
CMP-0007443,PRD-001652,P0128,28,127.95,Electrical,3582.6
CMP-0007444,PRD-001652,P0123,112,773.21,Electrical,86599.52
CMP-0007445,PRD-001652,P0161,28,625.79,Hydraulics,17522.12
CMP-0007446,PRD-001652,P0113,56,235.54,Electrical,13190.24
CMP-0007447,PRD-001652,P0159,112,326.35,Hydraulics,36551.2
CMP-0007448,PRD-001653,P0145,54,448.83,Hydraulics,24236.82
CMP-0007449,PRD-001653,P0150,36,413.96,Hydraulics,14902.56
CMP-0007450,PRD-001653,P0203,18,502.87,Structural,9051.66
CMP-0007451,PRD-001654,P0027,20,652.84,Engine Components,13056.8
CMP-0007452,PRD-001654,P0292,30,484.48,Fuel System,14534.4
CMP-0007453,PRD-001654,P0287,40,511.45,Fuel System,20458.0
CMP-0007454,PRD-001654,P0038,30,481.99,Engine Components,14459.7
CMP-0007455,PRD-001654,P0308,20,108.69,Fuel System,2173.8
CMP-0007456,PRD-001654,P0019,20,201.72,Engine Components,4034.4
CMP-0007457,PRD-001655,P0149,8,300.24,Hydraulics,2401.92
CMP-0007458,PRD-001655,P0268,8,540.39,Suspension,4323.12
CMP-0007459,PRD-001655,P0271,32,392.25,Suspension,12552.0
CMP-0007460,PRD-001655,P0214,32,419.38,Structural,13420.16
CMP-0007461,PRD-001655,P0142,24,698.65,Hydraulics,16767.6
CMP-0007462,PRD-001656,P0168,72,847.84,Hydraulics,61044.48
CMP-0007463,PRD-001656,P0066,24,294.82,Brake Systems,7075.68
CMP-0007464,PRD-001656,P0129,72,514.49,Electrical,37043.28
CMP-0007465,PRD-001657,P0141,84,539.01,Hydraulics,45276.84
CMP-0007466,PRD-001657,P0109,112,572.34,Electrical,64102.08
CMP-0007467,PRD-001657,P0161,84,625.79,Hydraulics,52566.36
CMP-0007468,PRD-001657,P0201,28,588.22,Structural,16470.16
CMP-0007469,PRD-001658,P0008,24,97.08,Engine Components,2329.92
CMP-0007470,PRD-001658,P0293,18,342.5,Fuel System,6165.0
CMP-0007471,PRD-001658,P0048,18,779.5,Engine Components,14031.0
CMP-0007472,PRD-001658,P0038,18,481.99,Engine Components,8675.82
CMP-0007473,PRD-001658,P0037,18,126.3,Engine Components,2273.4
CMP-0007474,PRD-001659,P0254,78,671.91,Suspension,52408.98
CMP-0007475,PRD-001659,P0180,78,841.3,Structural,65621.4
CMP-0007476,PRD-001659,P0147,26,476.75,Hydraulics,12395.5
CMP-0007477,PRD-001660,P0251,22,852.44,Cooling System,18753.68
CMP-0007478,PRD-001660,P0029,44,17.87,Engine Components,786.28
CMP-0007479,PRD-001660,P0134,22,75.73,Electrical,1666.06
CMP-0007480,PRD-001660,P0310,66,704.52,Fuel System,46498.32
CMP-0007481,PRD-001660,P0049,66,371.32,Engine Components,24507.12
CMP-0007482,PRD-001661,P0146,54,748.41,Hydraulics,40414.14
CMP-0007483,PRD-001661,P0123,54,773.21,Electrical,41753.34
CMP-0007484,PRD-001661,P0150,18,413.96,Hydraulics,7451.28
CMP-0007485,PRD-001661,P0141,72,539.01,Hydraulics,38808.72
CMP-0007486,PRD-001662,P0277,36,414.63,Suspension,14926.68
CMP-0007487,PRD-001662,P0260,27,711.31,Suspension,19205.37
CMP-0007488,PRD-001662,P0194,36,372.69,Structural,13416.84
CMP-0007489,PRD-001662,P0158,9,504.82,Hydraulics,4543.38
CMP-0007490,PRD-001663,P0132,36,680.53,Electrical,24499.08
CMP-0007491,PRD-001663,P0153,72,542.6,Hydraulics,39067.2
CMP-0007492,PRD-001663,P0097,72,396.7,Electrical,28562.4
CMP-0007493,PRD-001663,P0085,54,779.7,Brake Systems,42103.8
CMP-0007494,PRD-001664,P0170,64,732.86,Hydraulics,46903.04
CMP-0007495,PRD-001664,P0104,96,612.93,Electrical,58841.28
CMP-0007496,PRD-001664,P0208,32,503.45,Structural,16110.4
CMP-0007497,PRD-001664,P0122,128,70.11,Electrical,8974.08
CMP-0007498,PRD-001664,P0197,96,501.06,Structural,48101.76
CMP-0007499,PRD-001664,P0160,96,121.78,Hydraulics,11690.88
CMP-0007500,PRD-001665,P0116,88,750.05,Electrical,66004.4
CMP-0007501,PRD-001665,P0028,22,582.25,Engine Components,12809.5
CMP-0007502,PRD-001665,P0296,44,552.26,Fuel System,24299.44
CMP-0007503,PRD-001665,P0012,44,600.22,Engine Components,26409.68
CMP-0007504,PRD-001665,P0041,44,213.86,Engine Components,9409.84
CMP-0007505,PRD-001665,P0300,44,694.1,Fuel System,30540.4
CMP-0007506,PRD-001666,P0104,8,612.93,Electrical,4903.44
CMP-0007507,PRD-001666,P0174,16,554.52,Hydraulics,8872.32
CMP-0007508,PRD-001666,P0069,24,231.19,Brake Systems,5548.56
CMP-0007509,PRD-001666,P0059,24,532.0,Brake Systems,12768.0
CMP-0007510,PRD-001666,P0115,24,855.79,Electrical,20538.96
CMP-0007511,PRD-001666,P0072,32,845.95,Brake Systems,27070.4
CMP-0007512,PRD-001667,P0014,12,342.61,Engine Components,4111.32
CMP-0007513,PRD-001667,P0114,4,426.21,Electrical,1704.84
CMP-0007514,PRD-001667,P0240,16,192.7,Cooling System,3083.2
CMP-0007515,PRD-001668,P0278,18,660.71,Suspension,11892.78
CMP-0007516,PRD-001668,P0264,36,721.68,Suspension,25980.48
CMP-0007517,PRD-001668,P0182,54,161.84,Structural,8739.36
CMP-0007518,PRD-001668,P0267,18,674.91,Suspension,12148.38
CMP-0007519,PRD-001669,P0212,57,868.87,Structural,49525.59
CMP-0007520,PRD-001669,P0205,19,841.81,Structural,15994.39
CMP-0007521,PRD-001669,P0181,76,146.86,Structural,11161.36
CMP-0007522,PRD-001670,P0213,128,103.82,Structural,13288.96
CMP-0007523,PRD-001670,P0201,64,588.22,Structural,37646.08
CMP-0007524,PRD-001670,P0205,128,841.81,Structural,107751.68
CMP-0007525,PRD-001670,P0189,32,406.37,Structural,13003.84
CMP-0007526,PRD-001670,P0146,128,748.41,Hydraulics,95796.48
CMP-0007527,PRD-001671,P0207,66,780.76,Structural,51530.16
CMP-0007528,PRD-001671,P0193,22,417.52,Structural,9185.44
CMP-0007529,PRD-001671,P0116,88,750.05,Electrical,66004.4
CMP-0007530,PRD-001671,P0099,66,605.2,Electrical,39943.2
CMP-0007531,PRD-001671,P0109,88,572.34,Electrical,50365.92
CMP-0007532,PRD-001671,P0196,22,566.03,Structural,12452.66
CMP-0007533,PRD-001672,P0213,35,103.82,Structural,3633.7
CMP-0007534,PRD-001672,P0186,105,236.58,Structural,24840.9
CMP-0007535,PRD-001672,P0110,35,368.69,Electrical,12904.15
CMP-0007536,PRD-001672,P0238,70,288.41,Cooling System,20188.7
CMP-0007537,PRD-001673,P0125,22,676.55,Electrical,14884.1
CMP-0007538,PRD-001673,P0217,44,775.52,Cooling System,34122.88
CMP-0007539,PRD-001673,P0237,66,136.05,Cooling System,8979.3
CMP-0007540,PRD-001673,P0126,22,209.19,Electrical,4602.18
CMP-0007541,PRD-001674,P0209,20,181.96,Structural,3639.2
CMP-0007542,PRD-001674,P0203,15,502.87,Structural,7543.05
CMP-0007543,PRD-001674,P0264,5,721.68,Suspension,3608.4
CMP-0007544,PRD-001675,P0159,60,326.35,Hydraulics,19581.0
CMP-0007545,PRD-001675,P0067,20,564.73,Brake Systems,11294.6
CMP-0007546,PRD-001675,P0137,80,241.78,Hydraulics,19342.4
CMP-0007547,PRD-001675,P0055,20,350.39,Brake Systems,7007.8
CMP-0007548,PRD-001675,P0116,20,750.05,Electrical,15001.0
CMP-0007549,PRD-001676,P0221,32,787.23,Cooling System,25191.36
CMP-0007550,PRD-001676,P0130,32,782.16,Electrical,25029.12
CMP-0007551,PRD-001676,P0247,8,352.21,Cooling System,2817.68
CMP-0007552,PRD-001676,P0131,16,202.32,Electrical,3237.12
CMP-0007553,PRD-001677,P0056,2,389.36,Brake Systems,778.72
CMP-0007554,PRD-001677,P0190,6,735.61,Structural,4413.66
CMP-0007555,PRD-001677,P0081,8,810.55,Brake Systems,6484.4
CMP-0007556,PRD-001677,P0061,2,541.61,Brake Systems,1083.22
CMP-0007557,PRD-001678,P0309,48,365.25,Fuel System,17532.0
CMP-0007558,PRD-001678,P0132,16,680.53,Electrical,10888.48
CMP-0007559,PRD-001678,P0022,32,676.11,Engine Components,21635.52
CMP-0007560,PRD-001679,P0188,34,50.61,Structural,1720.74
CMP-0007561,PRD-001679,P0259,51,601.55,Suspension,30679.05
CMP-0007562,PRD-001679,P0093,68,320.93,Brake Systems,21823.24
CMP-0007563,PRD-001679,P0076,68,389.86,Brake Systems,26510.48
CMP-0007564,PRD-001680,P0212,80,868.87,Structural,69509.6
CMP-0007565,PRD-001680,P0268,20,540.39,Suspension,10807.8
CMP-0007566,PRD-001680,P0207,40,780.76,Structural,31230.4
CMP-0007567,PRD-001680,P0153,20,542.6,Hydraulics,10852.0
CMP-0007568,PRD-001681,P0213,54,103.82,Structural,5606.28
CMP-0007569,PRD-001681,P0093,81,320.93,Brake Systems,25995.33
CMP-0007570,PRD-001681,P0149,81,300.24,Hydraulics,24319.44
CMP-0007571,PRD-001682,P0218,34,800.38,Cooling System,27212.92
CMP-0007572,PRD-001682,P0240,17,192.7,Cooling System,3275.9
CMP-0007573,PRD-001682,P0037,34,126.3,Engine Components,4294.2
CMP-0007574,PRD-001683,P0151,81,312.71,Hydraulics,25329.51
CMP-0007575,PRD-001683,P0136,108,607.47,Hydraulics,65606.76
CMP-0007576,PRD-001683,P0114,108,426.21,Electrical,46030.68
CMP-0007577,PRD-001684,P0037,84,126.3,Engine Components,10609.2
CMP-0007578,PRD-001684,P0095,28,400.91,Electrical,11225.48
CMP-0007579,PRD-001684,P0125,112,676.55,Electrical,75773.6
CMP-0007580,PRD-001684,P0040,28,345.48,Engine Components,9673.44
CMP-0007581,PRD-001684,P0118,56,569.67,Electrical,31901.52
CMP-0007582,PRD-001684,P0103,112,528.29,Electrical,59168.48
CMP-0007583,PRD-001685,P0060,51,65.34,Brake Systems,3332.34
CMP-0007584,PRD-001685,P0161,51,625.79,Hydraulics,31915.29
CMP-0007585,PRD-001685,P0189,17,406.37,Structural,6908.29
CMP-0007586,PRD-001686,P0137,78,241.78,Hydraulics,18858.84
CMP-0007587,PRD-001686,P0136,26,607.47,Hydraulics,15794.22
CMP-0007588,PRD-001686,P0208,78,503.45,Structural,39269.1
CMP-0007589,PRD-001686,P0077,26,130.78,Brake Systems,3400.28
CMP-0007590,PRD-001686,P0075,26,237.24,Brake Systems,6168.24
CMP-0007591,PRD-001687,P0017,24,624.02,Engine Components,14976.48
CMP-0007592,PRD-001687,P0007,72,316.12,Engine Components,22760.64
CMP-0007593,PRD-001687,P0302,96,637.75,Fuel System,61224.0
CMP-0007594,PRD-001687,P0308,96,108.69,Fuel System,10434.24
CMP-0007595,PRD-001687,P0051,96,261.51,Engine Components,25104.96
CMP-0007596,PRD-001687,P0096,96,651.7,Electrical,62563.2
CMP-0007597,PRD-001688,P0176,84,81.43,Structural,6840.12
CMP-0007598,PRD-001688,P0203,21,502.87,Structural,10560.27
CMP-0007599,PRD-001688,P0174,84,554.52,Hydraulics,46579.68
CMP-0007600,PRD-001688,P0109,84,572.34,Electrical,48076.56
CMP-0007601,PRD-001689,P0126,15,209.19,Electrical,3137.85
CMP-0007602,PRD-001689,P0186,60,236.58,Structural,14194.8
CMP-0007603,PRD-001689,P0164,45,173.81,Hydraulics,7821.45
CMP-0007604,PRD-001689,P0140,30,862.98,Hydraulics,25889.4
CMP-0007605,PRD-001690,P0116,34,750.05,Electrical,25501.7
CMP-0007606,PRD-001690,P0048,51,779.5,Engine Components,39754.5
CMP-0007607,PRD-001690,P0031,51,759.88,Engine Components,38753.88
CMP-0007608,PRD-001691,P0139,87,527.14,Hydraulics,45861.18
CMP-0007609,PRD-001691,P0059,87,532.0,Brake Systems,46284.0
CMP-0007610,PRD-001691,P0136,116,607.47,Hydraulics,70466.52
CMP-0007611,PRD-001692,P0035,87,228.17,Engine Components,19850.79
CMP-0007612,PRD-001692,P0011,87,777.61,Engine Components,67652.07
CMP-0007613,PRD-001692,P0125,29,676.55,Electrical,19619.95
CMP-0007614,PRD-001693,P0110,111,368.69,Electrical,40924.59
CMP-0007615,PRD-001693,P0127,37,616.04,Electrical,22793.48
CMP-0007616,PRD-001693,P0252,74,222.8,Cooling System,16487.2
CMP-0007617,PRD-001693,P0120,74,148.49,Electrical,10988.26
CMP-0007618,PRD-001694,P0219,140,75.55,Cooling System,10577.0
CMP-0007619,PRD-001694,P0242,140,675.71,Cooling System,94599.4
CMP-0007620,PRD-001694,P0117,105,680.32,Electrical,71433.6
CMP-0007621,PRD-001695,P0128,108,127.95,Electrical,13818.6
CMP-0007622,PRD-001695,P0094,27,355.9,Electrical,9609.3
CMP-0007623,PRD-001695,P0118,108,569.67,Electrical,61524.36
CMP-0007624,PRD-001696,P0116,11,750.05,Electrical,8250.55
CMP-0007625,PRD-001696,P0098,44,765.49,Electrical,33681.56
CMP-0007626,PRD-001696,P0196,44,566.03,Structural,24905.32
CMP-0007627,PRD-001696,P0110,11,368.69,Electrical,4055.59
CMP-0007628,PRD-001696,P0099,44,605.2,Electrical,26628.8
CMP-0007629,PRD-001697,P0176,4,81.43,Structural,325.72
CMP-0007630,PRD-001697,P0192,2,628.9,Structural,1257.8
CMP-0007631,PRD-001697,P0206,6,657.56,Structural,3945.36
CMP-0007632,PRD-001698,P0104,30,612.93,Electrical,18387.9
CMP-0007633,PRD-001698,P0216,30,628.04,Structural,18841.2
CMP-0007634,PRD-001698,P0107,20,728.81,Electrical,14576.2
CMP-0007635,PRD-001698,P0132,20,680.53,Electrical,13610.6
CMP-0007636,PRD-001699,P0152,40,202.73,Hydraulics,8109.2
CMP-0007637,PRD-001699,P0193,60,417.52,Structural,25051.2
CMP-0007638,PRD-001699,P0146,60,748.41,Hydraulics,44904.6
CMP-0007639,PRD-001699,P0214,40,419.38,Structural,16775.2
CMP-0007640,PRD-001699,P0280,40,751.12,Suspension,30044.8
CMP-0007641,PRD-001699,P0195,60,495.2,Structural,29712.0
CMP-0007642,PRD-001700,P0192,11,628.9,Structural,6917.9
CMP-0007643,PRD-001700,P0144,33,76.03,Hydraulics,2508.99
CMP-0007644,PRD-001700,P0148,11,442.9,Hydraulics,4871.9
CMP-0007645,PRD-001700,P0177,22,430.87,Structural,9479.14
CMP-0007646,PRD-001701,P0081,16,810.55,Brake Systems,12968.8
CMP-0007647,PRD-001701,P0140,12,862.98,Hydraulics,10355.76
CMP-0007648,PRD-001701,P0144,8,76.03,Hydraulics,608.24
CMP-0007649,PRD-001702,P0123,22,773.21,Electrical,17010.62
CMP-0007650,PRD-001702,P0086,88,635.63,Brake Systems,55935.44
CMP-0007651,PRD-001702,P0126,44,209.19,Electrical,9204.36
CMP-0007652,PRD-001702,P0158,66,504.82,Hydraulics,33318.12
CMP-0007653,PRD-001702,P0173,44,535.84,Hydraulics,23576.96
CMP-0007654,PRD-001703,P0229,4,580.46,Cooling System,2321.84
CMP-0007655,PRD-001703,P0099,4,605.2,Electrical,2420.8
CMP-0007656,PRD-001703,P0242,4,675.71,Cooling System,2702.84
CMP-0007657,PRD-001704,P0190,16,735.61,Structural,11769.76
CMP-0007658,PRD-001704,P0160,16,121.78,Hydraulics,1948.48
CMP-0007659,PRD-001704,P0279,64,346.26,Suspension,22160.64
CMP-0007660,PRD-001704,P0276,64,594.42,Suspension,38042.88
CMP-0007661,PRD-001704,P0150,48,413.96,Hydraulics,19870.08
CMP-0007662,PRD-001704,P0255,32,752.82,Suspension,24090.24
CMP-0007663,PRD-001705,P0197,63,501.06,Structural,31566.78
CMP-0007664,PRD-001705,P0168,84,847.84,Hydraulics,71218.56
CMP-0007665,PRD-001705,P0130,84,782.16,Electrical,65701.44
CMP-0007666,PRD-001706,P0203,19,502.87,Structural,9554.53
CMP-0007667,PRD-001706,P0092,76,866.84,Brake Systems,65879.84
CMP-0007668,PRD-001706,P0277,38,414.63,Suspension,15755.94
CMP-0007669,PRD-001707,P0105,116,90.04,Electrical,10444.64
CMP-0007670,PRD-001707,P0135,87,191.43,Electrical,16654.41
CMP-0007671,PRD-001707,P0188,58,50.61,Structural,2935.38
CMP-0007672,PRD-001707,P0213,87,103.82,Structural,9032.34
CMP-0007673,PRD-001707,P0117,116,680.32,Electrical,78917.12
CMP-0007674,PRD-001708,P0016,12,660.28,Engine Components,7923.36
CMP-0007675,PRD-001708,P0308,4,108.69,Fuel System,434.76
CMP-0007676,PRD-001708,P0290,12,315.74,Fuel System,3788.88
CMP-0007677,PRD-001709,P0179,76,249.13,Structural,18933.88
CMP-0007678,PRD-001709,P0192,38,628.9,Structural,23898.2
CMP-0007679,PRD-001709,P0208,57,503.45,Structural,28696.65
CMP-0007680,PRD-001709,P0113,19,235.54,Electrical,4475.26
CMP-0007681,PRD-001709,P0118,19,569.67,Electrical,10823.73
CMP-0007682,PRD-001709,P0103,76,528.29,Electrical,40150.04
CMP-0007683,PRD-001710,P0140,96,862.98,Hydraulics,82846.08
CMP-0007684,PRD-001710,P0157,96,372.89,Hydraulics,35797.44
CMP-0007685,PRD-001710,P0123,24,773.21,Electrical,18557.04
CMP-0007686,PRD-001710,P0158,24,504.82,Hydraulics,12115.68
CMP-0007687,PRD-001711,P0222,14,40.62,Cooling System,568.68
CMP-0007688,PRD-001711,P0135,7,191.43,Electrical,1340.01
CMP-0007689,PRD-001711,P0111,21,679.6,Electrical,14271.6
CMP-0007690,PRD-001711,P0011,7,777.61,Engine Components,5443.27
CMP-0007691,PRD-001711,P0288,14,583.79,Fuel System,8173.06
CMP-0007692,PRD-001712,P0043,8,217.61,Engine Components,1740.88
CMP-0007693,PRD-001712,P0133,8,32.15,Electrical,257.2
CMP-0007694,PRD-001712,P0239,6,131.3,Cooling System,787.8
CMP-0007695,PRD-001712,P0001,4,113.53,Engine Components,454.12
CMP-0007696,PRD-001713,P0053,8,872.56,Brake Systems,6980.48
CMP-0007697,PRD-001713,P0063,8,563.15,Brake Systems,4505.2
CMP-0007698,PRD-001713,P0076,4,389.86,Brake Systems,1559.44
CMP-0007699,PRD-001713,P0274,16,352.1,Suspension,5633.6
CMP-0007700,PRD-001713,P0198,16,122.46,Structural,1959.36
CMP-0007701,PRD-001714,P0207,78,780.76,Structural,60899.28
CMP-0007702,PRD-001714,P0152,104,202.73,Hydraulics,21083.92
CMP-0007703,PRD-001714,P0258,26,367.35,Suspension,9551.1
CMP-0007704,PRD-001714,P0169,26,80.56,Hydraulics,2094.56
CMP-0007705,PRD-001714,P0214,52,419.38,Structural,21807.76
CMP-0007706,PRD-001715,P0131,21,202.32,Electrical,4248.72
CMP-0007707,PRD-001715,P0096,21,651.7,Electrical,13685.7
CMP-0007708,PRD-001715,P0113,21,235.54,Electrical,4946.34
CMP-0007709,PRD-001715,P0115,84,855.79,Electrical,71886.36
CMP-0007710,PRD-001716,P0204,27,793.2,Structural,21416.4
CMP-0007711,PRD-001716,P0221,27,787.23,Cooling System,21255.21
CMP-0007712,PRD-001716,P0178,9,637.14,Structural,5734.26
CMP-0007713,PRD-001716,P0127,36,616.04,Electrical,22177.44
CMP-0007714,PRD-001716,P0125,27,676.55,Electrical,18266.85
CMP-0007715,PRD-001717,P0047,45,100.78,Engine Components,4535.1
CMP-0007716,PRD-001717,P0026,45,896.57,Engine Components,40345.65
CMP-0007717,PRD-001717,P0229,30,580.46,Cooling System,17413.8
CMP-0007718,PRD-001718,P0115,36,855.79,Electrical,30808.44
CMP-0007719,PRD-001718,P0103,36,528.29,Electrical,19018.44
CMP-0007720,PRD-001718,P0058,72,666.13,Brake Systems,47961.36
CMP-0007721,PRD-001718,P0109,54,572.34,Electrical,30906.36
CMP-0007722,PRD-001718,P0094,54,355.9,Electrical,19218.6
CMP-0007723,PRD-001718,P0093,18,320.93,Brake Systems,5776.74
CMP-0007724,PRD-001719,P0081,68,810.55,Brake Systems,55117.4
CMP-0007725,PRD-001719,P0272,34,810.85,Suspension,27568.9
CMP-0007726,PRD-001719,P0182,68,161.84,Structural,11005.12
CMP-0007727,PRD-001719,P0212,51,868.87,Structural,44312.37
CMP-0007728,PRD-001719,P0084,51,379.88,Brake Systems,19373.88
CMP-0007729,PRD-001719,P0274,51,352.1,Suspension,17957.1
CMP-0007730,PRD-001720,P0299,58,886.23,Fuel System,51401.34
CMP-0007731,PRD-001720,P0135,58,191.43,Electrical,11102.94
CMP-0007732,PRD-001720,P0100,29,127.65,Electrical,3701.85
CMP-0007733,PRD-001721,P0060,17,65.34,Brake Systems,1110.78
CMP-0007734,PRD-001721,P0091,51,846.22,Brake Systems,43157.22
CMP-0007735,PRD-001721,P0156,34,449.38,Hydraulics,15278.92
CMP-0007736,PRD-001721,P0106,51,97.65,Electrical,4980.15
CMP-0007737,PRD-001721,P0065,34,226.24,Brake Systems,7692.16
CMP-0007738,PRD-001722,P0164,15,173.81,Hydraulics,2607.15
CMP-0007739,PRD-001722,P0136,20,607.47,Hydraulics,12149.4
CMP-0007740,PRD-001722,P0104,20,612.93,Electrical,12258.6
CMP-0007741,PRD-001722,P0093,5,320.93,Brake Systems,1604.65
CMP-0007742,PRD-001722,P0107,5,728.81,Electrical,3644.05
CMP-0007743,PRD-001723,P0163,120,882.75,Hydraulics,105930.0
CMP-0007744,PRD-001723,P0072,30,845.95,Brake Systems,25378.5
CMP-0007745,PRD-001723,P0089,120,367.64,Brake Systems,44116.8
CMP-0007746,PRD-001723,P0143,60,707.63,Hydraulics,42457.8
CMP-0007747,PRD-001724,P0068,93,203.64,Brake Systems,18938.52
CMP-0007748,PRD-001724,P0210,124,53.63,Structural,6650.12
CMP-0007749,PRD-001724,P0152,124,202.73,Hydraulics,25138.52
CMP-0007750,PRD-001724,P0086,93,635.63,Brake Systems,59113.59
CMP-0007751,PRD-001724,P0151,31,312.71,Hydraulics,9694.01
CMP-0007752,PRD-001724,P0183,124,270.42,Structural,33532.08
CMP-0007753,PRD-001725,P0126,28,209.19,Electrical,5857.32
CMP-0007754,PRD-001725,P0213,14,103.82,Structural,1453.48
CMP-0007755,PRD-001725,P0202,28,639.29,Structural,17900.12
CMP-0007756,PRD-001725,P0133,14,32.15,Electrical,450.1
CMP-0007757,PRD-001726,P0227,87,605.15,Cooling System,52648.05
CMP-0007758,PRD-001726,P0110,58,368.69,Electrical,21384.02
CMP-0007759,PRD-001726,P0250,58,635.45,Cooling System,36856.1
CMP-0007760,PRD-001726,P0252,58,222.8,Cooling System,12922.4
CMP-0007761,PRD-001726,P0216,87,628.04,Structural,54639.48
CMP-0007762,PRD-001726,P0099,29,605.2,Electrical,17550.8
CMP-0007763,PRD-001727,P0098,9,765.49,Electrical,6889.41
CMP-0007764,PRD-001727,P0110,9,368.69,Electrical,3318.21
CMP-0007765,PRD-001727,P0086,12,635.63,Brake Systems,7627.56
CMP-0007766,PRD-001727,P0165,3,877.25,Hydraulics,2631.75
CMP-0007767,PRD-001727,P0112,3,726.64,Electrical,2179.92
CMP-0007768,PRD-001727,P0074,3,195.18,Brake Systems,585.54
CMP-0007769,PRD-001728,P0116,90,750.05,Electrical,67504.5
CMP-0007770,PRD-001728,P0209,120,181.96,Structural,21835.2
CMP-0007771,PRD-001728,P0097,30,396.7,Electrical,11901.0
CMP-0007772,PRD-001728,P0152,60,202.73,Hydraulics,12163.8
CMP-0007773,PRD-001729,P0195,100,495.2,Structural,49520.0
CMP-0007774,PRD-001729,P0216,25,628.04,Structural,15701.0
CMP-0007775,PRD-001729,P0214,75,419.38,Structural,31453.5
CMP-0007776,PRD-001729,P0072,25,845.95,Brake Systems,21148.75
CMP-0007777,PRD-001730,P0254,44,671.91,Suspension,29564.04
CMP-0007778,PRD-001730,P0089,66,367.64,Brake Systems,24264.24
CMP-0007779,PRD-001730,P0214,66,419.38,Structural,27679.08
CMP-0007780,PRD-001730,P0192,88,628.9,Structural,55343.2
CMP-0007781,PRD-001730,P0200,44,213.86,Structural,9409.84
CMP-0007782,PRD-001730,P0274,66,352.1,Suspension,23238.6
CMP-0007783,PRD-001731,P0210,22,53.63,Structural,1179.86
CMP-0007784,PRD-001731,P0093,11,320.93,Brake Systems,3530.23
CMP-0007785,PRD-001731,P0182,11,161.84,Structural,1780.24
CMP-0007786,PRD-001732,P0171,6,508.89,Hydraulics,3053.34
CMP-0007787,PRD-001732,P0162,6,656.26,Hydraulics,3937.56
CMP-0007788,PRD-001732,P0155,2,506.33,Hydraulics,1012.66
CMP-0007789,PRD-001732,P0105,4,90.04,Electrical,360.16
CMP-0007790,PRD-001732,P0115,8,855.79,Electrical,6846.32
CMP-0007791,PRD-001733,P0190,112,735.61,Structural,82388.32
CMP-0007792,PRD-001733,P0068,84,203.64,Brake Systems,17105.76
CMP-0007793,PRD-001733,P0065,112,226.24,Brake Systems,25338.88
CMP-0007794,PRD-001733,P0205,112,841.81,Structural,94282.72
CMP-0007795,PRD-001733,P0266,112,169.21,Suspension,18951.52
CMP-0007796,PRD-001734,P0182,84,161.84,Structural,13594.56
CMP-0007797,PRD-001734,P0103,21,528.29,Electrical,11094.09
CMP-0007798,PRD-001734,P0161,84,625.79,Hydraulics,52566.36
CMP-0007799,PRD-001734,P0162,21,656.26,Hydraulics,13781.46
CMP-0007800,PRD-001734,P0197,63,501.06,Structural,31566.78
CMP-0007801,PRD-001735,P0215,33,81.22,Structural,2680.26
CMP-0007802,PRD-001735,P0199,22,155.16,Structural,3413.52
CMP-0007803,PRD-001735,P0208,22,503.45,Structural,11075.9
CMP-0007804,PRD-001735,P0202,44,639.29,Structural,28128.76
CMP-0007805,PRD-001735,P0116,11,750.05,Electrical,8250.55
CMP-0007806,PRD-001735,P0213,11,103.82,Structural,1142.02
CMP-0007807,PRD-001736,P0256,30,342.92,Suspension,10287.6
CMP-0007808,PRD-001736,P0077,60,130.78,Brake Systems,7846.8
CMP-0007809,PRD-001736,P0192,45,628.9,Structural,28300.5
CMP-0007810,PRD-001736,P0193,15,417.52,Structural,6262.8
CMP-0007811,PRD-001737,P0110,9,368.69,Electrical,3318.21
CMP-0007812,PRD-001737,P0146,18,748.41,Hydraulics,13471.38
CMP-0007813,PRD-001737,P0100,36,127.65,Electrical,4595.4
CMP-0007814,PRD-001738,P0232,116,276.28,Cooling System,32048.48
CMP-0007815,PRD-001738,P0106,29,97.65,Electrical,2831.85
CMP-0007816,PRD-001738,P0036,58,445.1,Engine Components,25815.8
CMP-0007817,PRD-001738,P0114,116,426.21,Electrical,49440.36
CMP-0007818,PRD-001738,P0016,29,660.28,Engine Components,19148.12
CMP-0007819,PRD-001739,P0175,81,201.76,Hydraulics,16342.56
